region,nights_spent,month,gdp,unemployment_rate,turnover_index,hicp_index,covid_cases,eurusd,eurgbp,policy_stringency
AT,1833949.0,2015-01-01,61180.5,5.5,,98.48,,1.128795504570007,0.7487999796867371,
AT,2145686.0,2015-02-01,,5.9,,98.75,,1.119795799255371,0.7260580062866211,
AT,1934635.0,2015-03-01,,5.4,,100.15,,1.0830246210098269,0.7311999797821045,
AT,1468507.0,2015-04-01,62509.3,5.6,,100.28,,1.1114321947097778,0.7203999757766724,
AT,1792973.0,2015-05-01,,5.8,,100.45,,1.0960345268249512,0.715399980545044,
AT,2122438.0,2015-06-01,,5.4,,100.4,,1.122296690940857,0.7131999731063843,
AT,2564963.0,2015-07-01,63103.7,5.6,,99.89,,1.0939244031906128,0.7009999752044678,
AT,2887116.0,2015-08-01,,5.2,,99.73,,1.1214030981063845,0.7273399829864502,
AT,2185943.0,2015-09-01,,5.2,,100.25,,1.1255937814712524,0.7423999905586243,
AT,1835395.0,2015-10-01,66164.1,5.2,,100.35,,1.100897192955017,0.7138270139694214,
AT,1509067.0,2015-11-01,,6.3,,100.32,,1.05830180644989,0.7037000060081482,
AT,1660367.0,2015-12-01,,5.7,,100.95,,1.093398094177246,0.7378000020980835,
AT,1908455.0,2016-01-01,62502.2,5.9,,99.85,,1.0825908184051514,0.7598999738693237,
AT,2132849.0,2016-02-01,,5.8,,99.76,,1.0923947095870972,0.7878000140190125,
AT,2007612.0,2016-03-01,,6.0,,100.82,,1.1334655284881592,0.7885199785232544,
AT,1539816.0,2016-04-01,64161.0,5.2,,100.93,,1.1448328495025637,0.7835000157356262,
AT,1951875.0,2016-05-01,,6.2,,101.04,,1.1148396730422974,0.7617999911308289,
AT,2086535.0,2016-06-01,,5.9,,101.04,,1.1128050088882446,0.8261799812316895,
AT,2753157.0,2016-07-01,64003.9,5.4,,100.49,,1.1168068647384644,0.8450000286102295,
AT,3108488.0,2016-08-01,,6.5,,100.33,,1.1153244972229004,0.8517000079154968,
AT,2296284.0,2016-09-01,,6.1,,101.33,,1.121956706047058,0.8653600215911865,
AT,1898510.0,2016-10-01,67554.2,5.7,,101.72,,1.0984665155410769,0.8993200063705444,
AT,1507374.0,2016-11-01,,5.8,,101.79,,1.0648492574691772,0.8524199724197388,
AT,1649878.0,2016-12-01,,5.2,,102.55,,1.0520004034042358,0.8521000146865845,
AT,1837262.0,2017-01-01,64620.3,5.6,,101.91,,1.0708587169647217,0.8566499948501587,
AT,2214768.0,2017-02-01,,5.2,,102.13,,1.0584250688552856,0.8508999943733215,
AT,1941934.0,2017-03-01,,5.7,,102.94,,1.0687072277069092,0.856469988822937,
AT,1616357.0,2017-04-01,65287.7,4.9,,103.27,,1.0907504558563232,0.8433899879455566,
AT,1856615.0,2017-05-01,,5.3,,103.21,,1.117168664932251,0.8720999956130981,
AT,2242680.0,2017-06-01,,5.2,,103.06,,1.144164800643921,0.8791900277137756,
AT,2723933.0,2017-07-01,65368.4,4.9,,102.47,,1.1747292280197144,0.8936499953269958,
AT,3069652.0,2017-08-01,,5.4,,102.46,,1.1893434524536133,0.9200999736785888,
AT,2260230.0,2017-09-01,,5.2,,103.9,,1.1741636991500854,0.8765010237693787,
AT,1886255.0,2017-10-01,69136.2,4.9,,104.12,,1.1652703285217283,0.8819199800491333,
AT,1565722.0,2017-11-01,,5.6,,104.27,,1.18519926071167,0.8833000063896179,
AT,1755154.0,2017-12-01,,5.5,,104.94,,1.200004816055298,0.8878999948501587,
AT,1931423.0,2018-01-01,65929.4,4.8,,103.86,,1.2409565448760986,0.876579999923706,
AT,2250314.0,2018-02-01,,5.3,,104.12,,1.2230321168899536,0.8793900012969971,
AT,2094270.0,2018-03-01,,5.0,,105.05,,1.2331976890563965,0.8817999958992004,
AT,1624599.0,2018-04-01,67143.7,4.6,,105.29,,1.2122827768325806,0.8801000118255615,
AT,1886027.0,2018-05-01,,4.5,,105.4,,1.1667250394821167,0.8781099915504456,
AT,2293945.0,2018-06-01,,4.5,,105.46,,1.1704941987991333,0.8842800259590149,
AT,2769840.0,2018-07-01,66920.6,5.0,,104.83,,1.170740842819214,0.8912699818611145,
AT,3075581.0,2018-08-01,,5.7,,104.82,,1.1664663553237915,0.8965100049972534,
AT,2273384.0,2018-09-01,,5.2,,106.11,,1.162304162979126,0.8920000195503235,
AT,1968933.0,2018-10-01,71634.0,4.3,,106.62,,1.1346358060836792,0.8925999999046326,
AT,1653930.0,2018-11-01,,4.6,,106.64,,1.1392766237258911,0.8910999894142151,
AT,1737216.0,2018-12-01,,5.0,,106.74,,1.1439945697784424,0.9013299942016602,
AT,1897017.0,2019-01-01,68092.2,4.5,,105.62,,1.1487650871276855,0.8754000067710876,
